,Movie Title,Year,Content Rating,Budget_ADJ,Gross_Income_ADJ,Director,IMDB Score
157,How to Train Your Dragon 2 ,2014,PG,"$150,135,171.67","$183,265,455.48",Dean DeBlois,7.9
158,Gods of Egypt ,2016,PG-13,"$142,982,496.34","$31,804,489.28",Alex Proyas,5.5
159,Stealth ,2005,PG-13,"$169,437,788.02","$39,792,045.31",Rob Cohen,5.0
160,Watchmen ,2009,R,"$148,531,954.86","$122,828,289.84",Zack Snyder,7.7
161,Lethal Weapon 4 ,1998,R,"$210,532,515.34","$195,095,674.30",Richard Donner,6.6
162,Hulk ,2003,PG-13,"$182,507,826.09","$176,010,807.25",Ang Lee,5.7
163,G.I. Joe: Retaliation ,2013,PG-13,"$136,787,475.80","$128,908,571.91",Jon M. Chu,5.8
164,Sahara ,2005,PG-13,"$163,162,314.39","$86,152,779.49",Breck Eisner,6.0
165,Final Fantasy: The Spirits Within ,2001,PG-13,"$189,618,520.61","$44,472,920.21",Hironobu Sakaguchi,6.4
166,Captain America: The First Avenger ,2011,PG-13,"$152,560,471.95","$192,484,257.23",Joe Johnston,6.9
167,The World Is Not Enough ,1999,PG-13,"$198,626,650.66","$186,754,161.94",Michael Apted,6.4
168,Master and Commander: The Far Side of the World ,2003,PG-13,"$199,826,086.96","$125,126,281.18",Peter Weir,7.4
169,The Twilight Saga: Breaking Dawn - Part 2 ,2012,PG-13,"$128,114,846.21","$312,065,263.05",Bill Condon,5.5
170,Happy Feet 2 ,2011,PG,"$147,111,883.67","$69,733,569.72",George Miller,5.9
171,The Incredible Hulk ,2008,PG-13,"$170,773,282.30","$153,147,646.60",Louis Leterrier,6.8
172,The BFG ,2016,PG,"$142,982,496.34","$53,916,970.30",Steven Spielberg,6.8
173,The Revenant ,2015,R,"$139,615,301.86","$189,913,960.60",Alejandro G. Iñárritu,8.1
174,Turbo ,2013,PG,"$142,048,532.56","$87,359,742.30",David Soren,6.5
175,Rango ,2011,PG,"$147,111,883.67","$134,261,054.74",Gore Verbinski,7.2
176,Penguins of Madagascar ,2014,PG,"$136,674,776.97","$86,300,720.09",Eric Darnell,6.7
177,The Bourne Ultimatum ,2007,PG-13,"$130,042,152.58","$268,521,782.86",Paul Greengrass,8.1
178,Kung Fu Panda ,2008,PG,"$148,003,511.33","$245,224,764.85",Mark Osborne,7.6
179,Ant-Man ,2015,PG-13,"$134,444,364.75","$186,351,921.28",Peyton Reed,7.4
180,The Hunger Games: Catching Fire ,2013,PG-13,"$136,787,475.80","$446,816,896.83",Francis Lawrence,7.6
181,The Twilight Saga: Breaking Dawn - Part 2 ,2012,PG-13,"$128,114,846.21","$312,065,263.05",Bill Condon,5.5
182,Home ,2015,PG,"$139,615,301.86","$183,406,597.91",Tim Johnson,6.7
183,War of the Worlds ,2005,PG-13,"$165,672,503.84","$294,039,897.42",Steven Spielberg,6.5
184,Bad Boys II ,2003,R,"$173,182,608.70","$184,368,372.15",Michael Bay,6.6
185,Puss in Boots ,2011,PG,"$141,663,295.38","$162,623,738.81",Chris Miller,6.7
186,Salt ,2010,PG-13,"$123,652,639.69","$132,995,572.35",Phillip Noyce,6.4
187,Noah ,2014,PG-13,"$129,426,872.13","$104,743,126.81",Darren Aronofsky,5.8
188,The Adventures of Tintin ,2011,PG,"$147,111,883.67","$84,522,900.65",Steven Spielberg,7.4
189,Harry Potter and the Prisoner of Azkaban ,2004,PG,"$168,690,312.33","$323,572,319.55",Alfonso Cuarón,7.8
190,Australia ,2008,PG-13,"$148,003,511.33","$56,413,999.76",Baz Luhrmann,6.6
