,Ceremony,Film,Award_Count,moviesearch
422,9,Come and Get It,1,comeandgetit
423,9,Pigskin Parade,0,pigskinparade
424,9,Romeo and Juliet,0,romeoandjuliet
425,9,The General Died at Dawn,0,thegeneraldiedatdawn
426,9,Theodora Goes Wild,0,theodoragoeswild
427,9,Valiant Is the Word for Carrie,0,valiantisthewordforcarrie
428,9,My Man Godfrey,0,mymangodfrey
429,9,The Great Ziegfeld,1,thegreatziegfeld
430,9,Romeo and Juliet,0,romeoandjuliet
431,9,The Gorgeous Hussy,0,thegorgeoushussy
432,9,My Man Godfrey,0,mymangodfrey
433,9,These Three,0,thesethree
434,9,Dodsworth,0,dodsworth
435,9,Anthony Adverse,1,anthonyadverse
436,9,Anton Grot,0,antongrot
437,9,Richard Day,3,richardday
438,9,"Cedric Gibbons, Eddie Imazu, Edwin B. Willis",0,"cedricgibbons,eddieimazu,edwinb.willis"
439,9,William S. Darling,1,williams.darling
440,9,"Albert S. D'Agostino, Jack Otterson",0,"alberts.d'agostino,jackotterson"
441,9,"Cedric Gibbons, Fredric Hope, Edwin B. Willis",0,"cedricgibbons,fredrichope,edwinb.willis"
442,9,Perry Ferguson,0,perryferguson
443,9,William Cannon,0,williamcannon
444,9,Jack Sullivan,1,jacksullivan
445,9,Eric G. Stacey,0,ericg.stacey
446,9,Clem Beauchamp,0,clembeauchamp
447,9,Joseph Newman,0,josephnewman
448,9,Gaetano Gaudio,1,gaetanogaudio
449,9,Victor Milner,1,victormilner
450,9,George Folsey,0,georgefolsey
451,9,Love and War number from Gold Diggers of 1937,0,loveandwarnumberfromgolddiggersof1937
452,9,1000 Love Songs number from Cain and Mabel,0,1000lovesongsnumberfromcainandmabel
453,9,A Pretty Girl Is Like a Melody number from The Great Ziegfeld,1,aprettygirlislikeamelodynumberfromthegreatziegfeld
454,9,Swingin' the Jinx number from Born to Dance,0,swingin'thejinxnumberfromborntodance
455,9,Skating Ensemble number from One in a Million,0,skatingensemblenumberfromoneinamillion
456,9,The Finale number from Dancing Pirate,0,thefinalenumberfromdancingpirate
457,9,Bojangles of Harlem number from Swing Time,0,bojanglesofharlemnumberfromswingtime
458,9,William Wyler,3,williamwyler
459,9,Robert Z. Leonard,0,robertz.leonard
460,9,Frank Capra,3,frankcapra
461,9,Gregory La Cava,0,gregorylacava
462,9,W. S. Van Dyke,0,w.s.vandyke
463,9,Ralph Dawson,3,ralphdawson
464,9,Edward Curtiss,0,edwardcurtiss
465,9,William S. Gray,0,williams.gray
466,9,Barbara McLean,1,barbaramclean
467,9,Conrad A. Nervig,0,conrada.nervig
468,9,Otto Meyer,0,ottomeyer
